EAN,ITEM SKU,PRODUCT NAME,BRAND NAME,REQUIRED PRICE TO AMAZON
3349668022304,6488,Paco Rabanne Pour Homme,Paco Rabanne,46.51
3412242630155,6575,Ice Dive,Adidas,10.71
3412242330055,6576,Dynamic Pulse,Adidas,12.26
3412241230158,6579,Victory League,Adidas,12.51
20714240158,6593,Liquid Facial Soap Extra Mild,Clinique,28.39
85805425234,6648,Eight Hour Cream Skin Protectant,Elizabeth Arden,25.11
85805425302,6649,Eight Hour Cream Lip Protectant Stick  SPF15,Elizabeth Arden,19.44
8011003061327,6734,Cheap And Chic,Moschino,54.59
3145891247008,6843,Platinum Égoïste Pour Homme,Chanel,62.15
8032529115653,6848,F by Ferragamo,Salvatore Ferragamo,44.02
716393088357,6883,Giorgio,Giorgio Beverly Hills,21.9
8595562296715,6932,Laguna,Salvador Dali,20.51
20714000684,6962,3-Step Skin Care 1,Clinique,44.41
3351500954247,7035,Chrome Legend,Azzaro,55.52
719346117722,7090,Believe,Britney Spears,35.15
8011003993871,7169,Bright Crystal,Versace,13.76
8411061771303,7181,Diavolo,Antonio Banderas,20.81
3607341792068,7192,Guess For Women,GUESS,33.96
27131009306,7214,Gentle Eye MakeUp Remover,Estée Lauder,39.22
20714462758,7227,3-Step Skin Care 1,Clinique,28.33
20714462765,7228,3-Step Skin Care 2,Clinique,28.81
20714003876,7231,3-Step Skin Care 4,Clinique,31.2
3473311268006,7263,Moisturizer With Cucumber,Sisley,137.95
3473311626004,7267,Hydra-Flash Formule Intensive,Sisley,158.75
737052036649,7362,The One For Men,Dolce&Gabbana,88.96
3349666005972,7363,Ultrared,Paco Rabanne,59.97
3386460090032,7368,For Women,Burberry,37.48
719346373906,7386,True Love,Elizabeth Arden,21.42
737052036632,7417,The One For Men,Dolce&Gabbana,66.84
94922794642,7450,Ed Hardy Men´s,Christian Audigier,34.59
20714243753,7521,True Bronze,Clinique,48.11
3386460007078,7586,Rumeur 2 Rose,Lanvin,48.37
8011003995950,7633,Pour Homme,Versace,77.04
719346094665,7661,Fantasy Midnight,Britney Spears,34.61
85805445942,7663,Visible Difference Refining Moisture Cream Complex,Elizabeth Arden,27.64
20714227661,7714,All About Clean Liquid Facial Soap Mild,Clinique,28.21
3605520381034,7747,Emporio Armani Diamonds For Men,Giorgio Armani,75.46
3274870152566,7771,Insense Ultramarine,Givenchy,57.68
3423470890136,7811,For Her,Narciso Rodriguez,91.0
4004711752407,7815,Naomi Campbell,Naomi Campbell,23.17
85805961121,7877,Sunflowers,Elizabeth Arden,15.15
88300069958,7993,CK One,Calvin Klein,19.27
3386460010399,8000,Jeanne Lanvin,Lanvin,48.71
20714015459,8030,Rinse Off,Clinique,34.91
20714157760,8032,All About Eyes,Clinique,47.18
3423473020523,8049,Light Blue Pour Homme,Dolce&Gabbana,53.16
8011003995943,8171,Pour Homme,Versace,45.72
3349666006016,8204,Ultrared,Paco Rabanne,57.52
8011003994403,8220,Bright Crystal,Versace,20.26
27131006534,8312,Knowing,Estée Lauder,106.5
3360373054749,8389,Paloma Picasso,Paloma Picasso,73.89
20714999346,8417,Aromatics Elixir,Clinique,89.99
3414202069036,8451,Wish,Chopard,33.09
3386460010429,8454,Jeanne Lanvin,Lanvin,35.2
870283002066,8457,Men,Fcuk,20.99
766124306502,8528,Starwalker,Montblanc,35.7
719346117708,8640,Believe,Britney Spears,22.41
20714464059,8674,3-Step Skin Care 1,Clinique,38.61
20714146559,8676,Take the Day Off,Clinique,31.17
3367729018981,8699,Deo Pure,Biotherm,30.51
3348900669697,8701,Diorshow Backstage,Christian Dior,56.96
3352818516851,8785,Flower By Kenzo,KENZO,44.11
3274875373461,8811,Ange ou Démon (Etrange),Givenchy,79.83
737052198699,8825,Replay For Him,Replay,17.9
3349666007891,8899,1 Million,Paco Rabanne,98.54
4004711752308,8967,Naomi Campbell,Naomi Campbell,28.25
8204552244062,9049,Pour Homme,Versace,75.34
3605471700052,9117,Homme,Iceberg,25.52
5012874248544,9318,Intimately,David Beckham,14.12
3414202752150,9321,Le Bain,JOOP!,13.15
20714007058,9415,Antiperspirant,Clinique,25.4
719346022712,9468,White Diamonds,Elizabeth Taylor,32.37
8011003997022,9496,Versense,Versace,105.57
8011003997015,9498,Versense,Versace,79.75
3605520946592,9532,Fuel For Life Homme,Diesel,53.18
85715803016,9543,London,Dunhill,31.86
768614191100,9578,Benefiance NutriPerfect   SPF15,Shiseido,90.94
85926653,9826,24h Control,Dermacol,23.32
7775562209255,9828,24h Control,Dermacol,23.32
8595003924450,9848,Magnum Maximum Volume,Dermacol,13.5
8595003919029,9849,Obsesión Volume & Lenght,Dermacol,10.99
3386460015745,10030,L´Homme Sport,Lanvin,37.05
3359996754006,10438,Absolute Skin Recovery Eye Contour Care,Orlane,50.21
3380811220109,10591,Pore Control Pore Minimizing Serum,Clarins,57.24
3380811051109,10593,Extra-Firming Jour,Clarins,85.6
20714222857,10596,Dramatically Different Moisturizing Gel,Clinique,49.08
8411061627761,10602,212 Sexy Men,Carolina Herrera,75.56
3414200320412,10654,Suractif Non-Stop Lifting  SPF15,Lancaster,75.99
7611773242721,10666,Skin Caviar Eye Complex,La Prairie,186.59
7611773230919,10667,Skin Caviar Luxe,La Prairie,537.3
20714125622,10703,Skin Supplies  Cream Shave,Clinique,31.72
747930000013,10726,The Moisturizing,La Mer,348.35
747930000235,10730,The Cleansing Lotion,La Mer,110.27
747930009788,10752,The Body Crème,La Mer,260.47
4084500237322,10757,Roma Uomo,Laura Biagiotti,13.94
3360372702788,10852,Fidji,Guy Laroche,35.74
737052238128,10863,Boss Orange,HUGO BOSS,61.14
22548173701,10956,DKNY Be Delicious Fresh Blossom,DKNY,54.29
8032529118050,10963,F by Ferragamo Black,Salvatore Ferragamo,45.3
20714281113,10990,Anti-Blemish Solutions,Clinique,27.92
3605520983979,11111,Flowerbomb,Viktor & Rolf,56.96
22548181089,11133,DKNY Be Delicious Fresh Blossom,DKNY,38.0
3253581107508,11159,Almond,L'Occitane,59.8
737052211503,11172,Black,Dunhill,31.76
3616301791195,11207,Skin Essentials Comforting Perfecting Toner,Lancaster,21.44
688575201963,11250,Chloé,Chloé,28.61
3380810739190,11368,Self Tan Instant Gel,Clarins,40.89
8034097956928,11404,Ungaro Pour L´Homme III,Emanuel Ungaro,39.24
3145891174601,11423,Pour Monsieur,Chanel,135.81
8435137714186,11424,Infusion D´ Iris,Prada,79.6
8595003929127,11479,Gold Elixir,Dermacol,20.0
22548172971,11560,DKNY Be Delicious Fresh Blossom,DKNY,59.68
719346552875,11562,Hidden Fantasy,Britney Spears,31.01
4001638099394,11611,Wild Rose Pampering,Weleda,25.21
4001638098816,11612,Men Shaving Toner,Weleda,20.29
8595003929103,11658,Gold Elixir,Dermacol,20.0
8411061636268,11672,Blue Seduction,Antonio Banderas,27.44
719346536349,11684,Red For Men,Giorgio Beverly Hills,27.48
3661163403601,11709,Natural Vitality For Women,Adidas,10.69
3346130491736,11736,Eau de Pamplemousse Rose,Hermes,96.04
3605540526415,11755,Biosource,Biotherm,36.45
3367729117264,11756,Lait Corporel,Biotherm,34.69
8411061080573,11787,Herrera For Men,Carolina Herrera,66.23
3577580202089,11808,Boucheron Pour Homme,Boucheron,52.73
94922912282,11810,Ed Hardy Love & Luck,Christian Audigier,41.96
3473311235008,11844,Gentle Facial Buffing Cream,Sisley,82.94
3473311032003,11868,Floral Toning Lotion,Sisley,94.41
5425017731962,11898,Magnum Gold,Cuba,10.04
8032529115875,11925,Ungaro,Emanuel Ungaro,28.77
608940530627,12010,Guess by Marciano,GUESS,32.29
85715321305,12011,Guess by Marciano,GUESS,31.86
3331438921504,12038,Sea & Sun in Cadaques,Salvador Dali,41.6
5011321218642,12057,Masterpiece MAX,Max Factor,13.94
3145891195309,12062,No. 19,Chanel,199.22
3145891354607,12065,Cristalle,Chanel,187.96
3423473020615,12179,D&G Anthology L´Imperatrice,Dolce&Gabbana,61.54
3414200908559,12239,Hot Water,Davidoff,26.39
